label,target,goes_class,fl_lon,fl_lat,rest_fl,rest_lon,rest_lat
2010/12/06/HMI.m2010.12.06_07.00.00.jpg,0,NF,unk,unk,0,0,0
2010/12/06/HMI.m2010.12.06_08.00.00.jpg,0,B1.9,-38.5479308163,16.0,['B1.9'],[-38.5479308163],[16.0]
2010/12/06/HMI.m2010.12.06_09.00.00.jpg,0,B1.9,-38.5479308163,16.0,['B1.9'],[-38.5479308163],[16.0]
2010/12/06/HMI.m2010.12.06_10.00.00.jpg,0,B1.9,-38.5479308163,16.0,['B1.9'],[-38.5479308163],[16.0]
2010/12/06/HMI.m2010.12.06_11.00.00.jpg,0,B1.9,-38.5479308163,16.0,['B1.9'],[-38.5479308163],[16.0]
2010/12/06/HMI.m2010.12.06_12.00.00.jpg,0,B1.9,-38.5479308163,16.0,['B1.9'],[-38.5479308163],[16.0]
2010/12/06/HMI.m2010.12.06_13.00.00.jpg,0,B1.9,-38.5479308163,16.0,['B1.9'],[-38.5479308163],[16.0]
2010/12/06/HMI.m2010.12.06_14.00.00.jpg,0,B1.9,-38.5479308163,16.0,['B1.9'],[-38.5479308163],[16.0]
2010/12/06/HMI.m2010.12.06_15.00.00.jpg,0,B1.9,-38.5479308163,16.0,['B1.9'],[-38.5479308163],[16.0]
2010/12/06/HMI.m2010.12.06_16.00.00.jpg,0,B1.9,-38.5479308163,16.0,['B1.9'],[-38.5479308163],[16.0]
2010/12/06/HMI.m2010.12.06_17.00.00.jpg,0,B1.9,-38.5479308163,16.0,['B1.9'],[-38.5479308163],[16.0]
2010/12/06/HMI.m2010.12.06_18.00.00.jpg,0,B1.9,-38.5479308163,16.0,['B1.9'],[-38.5479308163],[16.0]
2010/12/06/HMI.m2010.12.06_19.00.00.jpg,0,B1.9,-38.5479308163,16.0,['B1.9'],[-38.5479308163],[16.0]
2010/12/06/HMI.m2010.12.06_20.00.00.jpg,0,B1.9,-38.5479308163,16.0,['B1.9'],[-38.5479308163],[16.0]
